step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,-0.373520,1.835490,0.954399,0.000000,0.000000,0.000000,0.240000,0.180000,0.140000,0.100000,-1.000000,0.000000
1,-0.373520,1.835490,0.954399,0.007000,0.000000,0.000000,0.240000,0.180000,0.140000,0.100000,-1.000000,0.007000
2,-0.373480,1.835547,0.954399,0.014000,0.000000,0.000000,0.240000,0.180000,0.140000,0.100000,-1.000000,0.014000
3,-0.373399,1.835661,0.954399,0.012635,-0.005371,-0.229722,0.240000,0.180000,0.140000,0.100000,-1.000000,0.012635
4,-0.373282,1.835733,0.952101,0.014456,-0.013642,-0.130547,0.240000,0.180000,0.140000,0.100000,-1.000000,0.014456
5,-0.373087,1.835772,0.950796,0.018464,-0.007716,-0.594771,0.240000,0.180000,0.140000,0.100000,-1.000000,0.018464
6,-0.372917,1.835877,0.944848,0.023814,-0.016534,-0.259800,0.240000,0.180000,0.140000,0.100000,-1.000000,0.023814
7,-0.372644,1.835973,0.942250,0.026136,-0.012580,-0.726427,0.240000,0.180000,0.140000,0.100000,-1.000000,0.026136
8,-0.372388,1.836111,0.934986,0.030956,-0.021285,-0.426882,0.240000,0.180000,0.140000,0.100000,-1.000000,0.030956
9,-0.372033,1.836234,0.930717,0.033981,-0.017852,-0.826197,0.240000,0.180000,0.140000,0.100000,-1.000000,0.033981
10,-0.371687,1.836400,0.922455,0.038344,-0.025797,-0.589363,0.260000,0.180000,0.140000,0.100000,-1.000000,0.038344
11,-0.371250,1.836549,0.916561,0.041704,-0.023224,-0.926226,0.260000,0.180000,0.140000,0.100000,-1.000000,0.041704
12,-0.370812,1.836739,0.907299,0.045867,-0.029787,-0.767228,0.260000,0.180000,0.140000,0.100000,-1.000000,0.045867
13,-0.370295,1.836917,0.899627,0.049446,-0.028652,-1.019612,0.260000,0.180000,0.140000,0.100000,-1.000000,0.049446
14,-0.369763,1.837126,0.889431,0.053473,-0.033471,-0.952181,0.260000,0.180000,0.140000,0.100000,-1.000000,0.053473
15,-0.369166,1.837330,0.879909,0.057212,-0.033962,-1.113680,0.260000,0.180000,0.140000,0.100000,-1.000000,0.057212
16,-0.368540,1.837555,0.868772,0.061152,-0.037174,-1.128214,0.280000,0.180000,0.140000,0.100000,-1.000000,0.061152
17,-0.367861,1.837782,0.857490,0.064996,-0.038811,-1.224822,0.280000,0.180000,0.140000,0.100000,-1.000000,0.064996
18,-0.367142,1.838019,0.845242,0.068903,-0.041150,-1.281770,0.280000,0.180000,0.140000,0.100000,-1.000000,0.068903
19,-0.366377,1.838262,0.832424,0.072800,-0.043167,-1.353740,0.280000,0.180000,0.140000,0.100000,-1.000000,0.072800
20,-0.365568,1.838510,0.818887,0.076713,-0.045245,-1.420158,0.300000,0.180000,0.160000,0.100000,-1.000000,0.076713
21,-0.364713,1.838761,0.804685,0.080636,-0.047265,-1.487219,0.300000,0.180000,0.160000,0.100000,-1.000000,0.080636
22,-0.363814,1.839014,0.789813,0.084568,-0.049253,-1.553404,0.320000,0.200000,0.160000,0.100000,-1.000000,0.084568
23,-0.362868,1.839268,0.774279,0.088510,-0.051204,-1.618947,0.320000,0.200000,0.160000,0.100000,-1.000000,0.088510
24,-0.361878,1.839521,0.758089,0.092462,-0.053116,-1.683782,0.340000,0.200000,0.160000,0.100000,-1.000000,0.092462
25,-0.360841,1.839771,0.741252,0.096422,-0.054987,-1.747878,0.340000,0.200000,0.160000,0.100000,-1.000000,0.096422
26,-0.359759,1.840016,0.723773,0.100391,-0.056815,-1.811200,0.360000,0.200000,0.160000,0.100000,-1.000000,0.100391
27,-0.358630,1.840255,0.705661,0.104368,-0.058600,-1.873714,0.380000,0.200000,0.160000,0.100000,-1.000000,0.104368
28,-0.357456,1.840486,0.686924,0.108353,-0.060338,-1.935386,0.400000,0.220000,0.160000,0.100000,-1.000000,0.108353
29,-0.356235,1.840707,0.667570,0.112344,-0.062029,-1.996181,0.420000,0.220000,0.160000,0.100000,-1.000000,0.112344
30,-0.354969,1.840915,0.647608,0.116341,-0.063671,-2.056065,0.440000,0.220000,0.160000,0.100000,-1.000000,0.116341
31,-0.353657,1.841109,0.627047,0.120343,-0.065262,-2.115003,0.420000,0.220000,0.160000,0.100000,-1.000000,0.120343
32,-0.352300,1.841287,0.605897,0.124349,-0.066802,-2.172961,0.420000,0.240000,0.160000,0.100000,-1.000000,0.124349
33,-0.350897,1.841446,0.584168,0.128358,-0.068287,-2.229905,0.420000,0.240000,0.160000,0.100000,-1.000000,0.128358
34,-0.349450,1.841584,0.561869,0.132369,-0.069718,-2.285802,0.420000,0.240000,0.180000,0.100000,-1.000000,0.132369
35,-0.347958,1.841700,0.539011,0.136380,-0.071092,-2.340617,0.460000,0.260000,0.180000,0.100000,-1.000000,0.136380
